Date,Close,High,Low,Open,Volume
2021-06-25,398.72283935546875,399.17147241602134,397.73213297075046,398.05925946140326,58129500
2021-06-28,399.5265808105469,399.6948074887242,398.0498768754374,399.2462030135846,53159600
2021-06-29,399.7415771484375,400.5453458904214,399.20883078354126,399.9098038354574,35970500
2021-06-30,400.0780334472656,400.7509687229313,399.2555538300446,399.2835916114196,64827900
2021-07-01,402.2931213378906,402.4520211210759,400.7696685970019,400.83509959729395,53441000
2021-07-02,405.3680725097656,405.72323677808726,402.37724253484845,403.45209077508554,57697700
2021-07-06,404.6296691894531,405.63908633581775,401.90056347036705,405.42411100289456,68710400
2021-07-07,406.05963134765625,406.34003766118167,403.30248799530796,405.31193822358387,63549500
2021-07-08,402.75103759765625,403.50808611480505,399.57327068511836,400.7509143885333,97595200
2021-07-09,407.0504150390625,407.3495037546776,402.55484295981864,404.2558779418757,76238600
2021-07-12,408.50836181640625,408.76073035250516,406.536304788165,406.9662269112006,52889600
2021-07-13,407.1158142089844,409.2187334442086,406.854118733952,407.72331850573784,52911300
2021-07-14,407.72332763671875,409.29352904474496,406.48028123314407,408.8075027783235,64130400
2021-07-15,406.3307189941406,407.05972983900836,404.43341971053184,406.38679455738685,55126400
2021-07-16,403.14361572265625,407.555073909898,402.75108678868395,407.5083537824567,75874700
2021-07-19,397.1900329589844,403.20905730096297,394.38614069493224,398.3302836206056,147987000
2021-07-20,402.8819580078125,404.1530707517098,397.0591977452092,397.8536396448114,99608200
2021-07-21,406.1437683105469,406.28398573679834,402.83519609526724,404.07824240394586,64724400
2021-07-22,406.99432373046875,407.23733686784163,405.34003746820474,406.3213884076943,47878500
2021-07-23,411.1814270019531,411.51788035862415,408.2373460404216,408.91960818789283,63766600
2021-07-26,412.1907653808594,412.20012081384886,410.5458349664142,410.5925550860386,43719200
2021-07-27,410.3122863769531,411.18148619614936,407.4896830394306,411.15344841239045,67397100
2021-07-28,410.14398193359375,411.51789021824817,408.72335352250394,410.9384237416545,52472400
